49,28,44,44,24
48,29,47,35,21
14,24,36,3,47
21,14,12,8,22
6,35,2,35,8
27,30,6,10,13
13,4,6,48,25
43,7,22,44,8
35,42,26,10,38
11,15,6,19,33
44,24,7,36,10
30,45,49,20,28
25,3,38,25,3
27,44,45,15,12
11,3,37,37,34
23,47,18,16,35
15,42,41,12,46
13,18,2,30,9
35,1,9,42,38
3,27,28,46,19
11,44,3,26,48
12,18,38,37,15
25,30,41,36,33
7,20,16,21,9
39,3,2,22,47
46,23,22,23,16
38,40,13,7,9
34,34,16,26,18
23,18,9,26,27
14,6,25,40,38
24,35,41,20,49
1,44,28,47,24
6,26,38,35,9
47,36,14,7,21
41,17,31,37,5
22,10,40,7,15
22,8,45,5,38
43,3,23,20,33
13,27,7,38,38
21,9,16,5,34
7,48,48,24,20
15,42,19,46,47
44,27,44,38,13
13,43,37,31,44
26,42,18,28,8
21,30,18,44,15
3,31,42,31,38
25,20,12,10,30
21,10,29,11,31
26,34,30,28,9
47,8,12,42,18
19,48,9,40,26
49,39,11,39,24
24,34,47,17,47
49,46,35,36,13
9,23,31,44,43
39,6,40,29,6
13,12,24,17,6
8,42,22,35,4
26,25,41,14,26
4,3,48,34,10
49,18,10,48,14
7,27,42,43,37
44,26,26,12,13
8,32,18,23,26
35,47,18,29,42
15,15,20,31,17
14,4,49,12,23
24,44,14,36,45
38,6,7,13,4
3,29,41,25,5
15,33,5,43,29
47,30,43,40,22
13,31,42,36,6
39,20,10,25,16
30,5,42,3,5
7,2,26,24,37
36,23,33,4,31
42,19,33,29,39
21,21,31,35,4
1,38,42,22,42
43,24,49,9,14
24,30,40,19,30
27,15,32,8,21
37,24,19,18,38
13,25,10,27,25
19,44,45,11,31
30,23,28,10,33
20,20,38,25,43
38,21,17,27,49
41,23,16,32,21
31,10,20,4,31
15,21,38,4,20
3,3,6,15,31
40,34,19,6,23
12,40,13,13,30
33,20,7,7,44
34,14,35,14,23
49,32,33,42,32
38,30,30,37,21
